09:22:34.866 23.1C | 3.00 V
10:32:24.491 23.1C | 2.92 V
10:32:25.719 23.1C | 2.93 V
10:32:26.949 23.1C | 2.92 V
10:32:28.162 23.1C | 2.91 V
10:32:29.391 23.1C | 2.92 V
10:32:30.613 23.1C | 2.92 V
10:32:31.839 23.1C | 2.91 V
10:32:33.089 23.1C | 2.93 V
10:32:34.301 23.1C | 2.92 V
10:32:35.513 23.1C | 2.92 V
10:32:36.788 23.1C | 2.92 V
10:32:37.962 23.1C | 2.92 V
10:32:39.193 23.1C | 2.91 V
10:32:40.415 23.1C | 2.93 V
10:32:41.671 23.1C | 2.92 V
10:32:42.864 23.1C | 2.91 V
10:32:44.095 23.1C | 2.92 V
10:32:45.318 23.1C | 2.92 V
10:32:46.541 23.1C | 2.92 V
10:32:47.765 23.1C | 2.92 V
10:32:49.001 23.1C | 2.92 V
10:32:50.215 23.1C | 2.91 V
10:32:51.441 23.1C | 2.93 V
10:32:52.664 23.1C | 2.93 V
10:32:53.890 23.1C | 2.92 V
10:32:55.115 23.1C | 2.93 V
10:32:56.339 23.1C | 2.93 V
10:32:57.566 23.1C | 2.91 V
10:32:58.794 23.1C | 2.93 V
10:33:00.022 23.1C | 2.92 V
10:33:01.241 23.1C | 2.91 V
10:33:02.467 23.1C | 2.93 V
10:33:03.691 23.1C | 2.92 V
10:33:04.916 23.1C | 2.91 V
10:33:06.142 23.1C | 2.93 V
10:33:07.381 23.1C | 2.91 V
10:33:08.596 23.1C | 2.91 V
10:33:09.817 23.1C | 2.93 V
10:33:11.041 23.1C | 2.92 V
10:33:12.267 23.1C | 2.91 V
10:33:13.516 23.1C | 2.93 V
10:33:14.715 23.1C | 2.92 V
10:33:15.941 23.1C | 2.91 V
10:33:17.166 23.1C | 2.93 V
10:33:18.436 23.1C | 2.92 V
10:33:19.636 23.1C | 2.91 V
10:33:20.842 23.1C | 2.93 V
10:33:22.068 23.1C | 2.92 V
10:33:23.292 23.1C | 2.92 V
10:33:24.524 23.1C | 2.93 V
10:33:25.742 23.1C | 2.92 V
10:33:26.967 23.1C | 2.91 V
10:33:28.192 23.1C | 2.92 V
10:33:29.427 23.1C | 2.92 V
10:33:30.642 23.1C | 2.92 V
10:33:31.881 23.1C | 2.93 V
10:33:33.098 23.1C | 2.92 V
10:33:34.318 23.1C | 2.92 V
10:33:35.542 23.1C | 2.93 V
10:33:36.767 23.1C | 2.92 V
10:33:37.992 23.1C | 2.92 V
10:33:39.220 23.1C | 2.92 V
10:33:40.452 23.1C | 2.92 V
10:33:41.678 23.1C | 2.91 V
10:33:42.902 23.1C | 2.92 V
10:33:44.119 23.1C | 2.92 V
10:33:45.343 23.1C | 2.92 V
10:33:46.574 23.1C | 2.92 V
10:33:47.793 23.1C | 2.91 V
10:33:49.029 23.1C | 2.91 V
10:33:50.242 23.1C | 2.92 V
10:33:51.472 23.1C | 2.92 V
10:33:52.695 23.1C | 2.91 V
10:33:53.918 23.1C | 2.92 V
10:33:55.144 23.1C | 2.92 V
10:33:56.377 23.1C | 2.91 V
10:33:57.595 23.1C | 2.93 V
10:33:58.821 23.1C | 2.92 V
10:34:00.049 23.1C | 2.91 V
10:34:01.269 23.1C | 2.92 V
10:34:02.494 23.1C | 2.92 V
10:34:03.726 23.1C | 2.91 V
10:34:04.947 23.1C | 2.93 V
10:34:06.187 23.1C | 2.92 V
10:34:07.406 23.1C | 2.91 V
10:34:08.658 23.1C | 2.92 V
10:34:09.844 23.1C | 2.92 V
10:34:11.069 23.1C | 2.91 V
10:34:12.297 23.1C | 2.93 V
10:34:13.521 23.1C | 2.92 V
10:34:14.746 23.1C | 2.92 V
10:34:15.973 23.1C | 2.92 V
10:34:17.207 23.1C | 2.92 V
10:34:18.420 23.1C | 2.92 V
10:34:19.645 23.1C | 2.93 V
10:34:20.876 23.1C | 2.92 V
10:34:22.097 23.1C | 2.92 V
10:34:23.322 23.1C | 2.93 V
10:34:24.559 23.1C | 2.92 V
10:34:25.771 23.1C | 2.92 V
10:34:26.997 23.1C | 2.92 V
10:34:28.223 23.1C | 2.92 V
10:34:29.448 23.1C | 2.91 V
10:34:30.688 23.1C | 2.92 V
10:34:31.895 23.1C | 2.92 V
10:34:33.122 23.1C | 2.91 V
10:34:34.349 23.1C | 2.92 V
10:34:35.573 23.1C | 2.92 V
10:34:36.813 23.1C | 2.91 V
10:34:38.022 23.1C | 2.93 V
10:34:39.277 23.1C | 2.92 V
10:34:40.498 23.1C | 2.91 V
10:34:41.733 23.1C | 2.93 V
10:34:42.937 23.1C | 2.92 V
10:34:44.148 23.1C | 2.92 V
10:34:45.397 23.1C | 2.93 V
10:34:46.601 23.1C | 2.92 V
10:34:47.826 23.1C | 2.92 V
10:34:49.052 23.1C | 2.92 V
10:34:50.272 23.1C | 2.92 V
10:34:51.499 23.1C | 2.91 V
10:34:52.723 23.1C | 2.93 V
10:34:53.956 23.1C | 2.92 V
10:34:55.173 23.1C | 2.92 V
10:34:56.398 23.1C | 2.93 V
10:34:57.623 23.1C | 2.92 V
10:34:58.848 23.1C | 2.92 V
10:35:00.074 23.1C | 2.93 V
10:35:01.298 23.1C | 2.92 V
10:35:02.527 23.1C | 2.92 V
10:35:03.748 23.1C | 2.92 V
10:35:04.987 23.1C | 2.92 V
10:35:06.201 23.1C | 2.92 V
10:35:07.437 23.1C | 2.93 V
10:35:08.649 23.1C | 2.92 V
10:35:09.874 23.1C | 2.92 V
10:35:11.101 23.1C | 2.92 V
10:35:12.335 23.1C | 2.92 V
10:35:13.556 23.1C | 2.91 V
10:35:14.773 23.1C | 2.93 V
10:35:16.000 23.1C | 2.92 V
10:35:17.225 23.1C | 2.91 V
10:35:18.451 23.1C | 2.93 V
10:35:19.678 23.1C | 2.92 V
10:35:20.901 23.1C | 2.91 V
10:35:22.128 23.1C | 2.92 V
10:35:23.349 23.1C | 2.92 V
10:35:24.576 23.1C | 2.92 V
10:35:25.824 23.1C | 2.93 V
10:35:27.036 23.1C | 2.92 V
10:35:28.251 23.1C | 2.91 V
10:35:29.477 23.1C | 2.92 V
10:35:30.703 23.1C | 2.92 V
10:35:31.926 23.1C | 2.91 V
10:35:33.153 23.1C | 2.92 V
10:35:34.378 23.1C | 2.92 V
10:35:35.601 23.1C | 2.91 V
10:35:36.825 23.1C | 2.93 V
10:35:38.056 23.1C | 2.92 V
10:35:39.280 23.1C | 2.92 V
10:35:40.503 23.1C | 2.93 V
10:35:41.728 23.1C | 2.92 V
10:35:42.951 23.1C | 2.92 V
10:35:44.177 23.1C | 2.93 V
10:35:45.402 23.1C | 2.92 V
10:35:46.631 23.1C | 2.91 V
10:35:47.861 23.1C | 2.92 V
10:35:49.096 23.1C | 2.92 V
10:35:50.302 23.1C | 2.91 V
10:35:51.527 23.1C | 2.92 V
10:35:52.753 23.1C | 2.91 V
10:35:53.978 23.1C | 2.92 V
10:35:55.202 23.1C | 2.93 V
10:35:56.428 23.1C | 2.92 V
10:35:57.653 23.1C | 2.92 V
10:35:58.878 23.1C | 2.92 V
10:36:00.105 23.1C | 2.92 V
10:36:01.328 23.1C | 2.92 V
10:36:02.552 23.1C | 2.92 V
10:36:03.777 23.1C | 2.92 V
10:36:05.003 23.1C | 2.91 V
10:36:06.229 23.1C | 2.92 V
10:36:07.468 23.1C | 2.92 V
10:36:08.678 23.1C | 2.91 V
10:36:09.917 23.1C | 2.93 V
10:36:11.131 23.1C | 2.92 V
10:36:12.356 23.1C | 2.91 V
10:36:13.586 23.1C | 2.92 V
10:36:14.861 23.1C | 2.92 V
10:36:16.028 23.1C | 2.92 V
10:36:17.253 23.1C | 2.93 V
10:36:18.479 23.1C | 2.92 V
10:36:19.707 23.1C | 2.92 V
10:36:20.936 23.1C | 2.93 V
10:36:22.153 23.1C | 2.92 V
10:36:23.381 23.1C | 2.91 V
10:36:24.605 23.1C | 2.92 V
10:36:25.831 23.1C | 2.92 V
10:36:27.054 23.1C | 2.91 V
10:36:28.283 23.1C | 2.92 V
10:36:29.504 23.1C | 2.92 V
10:36:30.729 23.1C | 2.91 V
10:36:31.954 23.1C | 2.93 V
10:36:33.201 23.1C | 2.92 V
10:36:34.408 23.1C | 2.92 V
10:36:35.632 23.1C | 2.93 V
10:36:36.854 23.1C | 2.92 V
10:36:38.079 23.1C | 2.92 V
10:36:39.304 23.1C | 2.93 V
10:36:40.534 23.1C | 2.92 V
10:36:41.787 23.1C | 2.91 V
10:36:42.981 23.1C | 2.93 V
10:36:44.206 23.1C | 2.92 V
10:36:45.432 23.1C | 2.91 V
10:36:46.658 23.1C | 2.92 V
10:36:47.881 23.1C | 2.92 V
10:36:49.118 23.1C | 2.91 V
10:36:50.331 23.1C | 2.93 V
10:36:51.557 23.1C | 2.92 V
10:36:52.784 23.1C | 2.91 V
10:36:54.021 23.1C | 2.92 V
10:36:55.241 23.1C | 2.91 V
10:36:56.456 23.1C | 2.91 V
10:36:57.681 23.1C | 2.93 V
10:36:58.911 23.1C | 2.92 V
10:37:00.131 23.1C | 2.91 V
10:37:01.356 23.1C | 2.92 V
10:37:02.584 23.1C | 2.92 V
10:37:03.810 23.1C | 2.91 V
10:37:05.033 23.1C | 2.92 V
10:37:06.260 23.1C | 2.91 V
10:37:07.482 23.1C | 2.91 V
10:37:08.707 23.1C | 2.93 V
10:37:09.932 23.1C | 2.92 V
10:37:11.166 23.1C | 2.92 V
10:37:12.382 23.1C | 2.93 V
10:37:13.607 23.1C | 2.92 V
10:37:14.857 23.1C | 2.91 V
10:37:16.058 23.1C | 2.92 V
10:37:17.292 23.1C | 2.92 V
10:37:18.508 23.1C | 2.91 V
10:37:19.734 23.1C | 2.92 V
10:37:20.966 23.1C | 2.92 V
10:37:22.198 23.1C | 2.91 V
10:37:23.410 23.1C | 2.93 V
10:37:24.643 23.1C | 2.92 V
10:37:25.860 23.1C | 2.91 V
10:37:27.096 23.1C | 2.93 V
10:37:28.317 23.1C | 2.92 V
10:37:29.532 23.1C | 2.91 V
10:37:30.759 23.1C | 2.92 V
10:37:31.983 23.1C | 2.91 V
10:37:33.208 23.1C | 2.92 V
10:37:34.433 23.1C | 2.92 V
10:37:35.661 23.1C | 2.92 V
10:37:36.885 23.1C | 2.92 V
10:37:38.111 23.1C | 2.92 V
10:37:39.340 23.1C | 2.92 V
10:37:40.559 23.1C | 2.91 V
10:37:41.798 23.1C | 2.93 V
10:37:43.072 23.1C | 2.91 V
10:37:44.234 23.1C | 2.92 V
10:37:45.464 23.1C | 2.92 V
10:37:46.696 23.1C | 2.92 V
10:37:47.919 23.1C | 2.92 V
10:37:49.135 23.1C | 2.93 V
10:37:50.361 23.1C | 2.92 V
10:37:51.584 23.1C | 2.91 V
10:37:52.810 23.1C | 2.92 V
10:37:54.035 23.1C | 2.92 V
10:37:55.264 23.1C | 2.91 V
10:37:56.513 23.1C | 2.92 V
10:37:57.711 23.1C | 2.92 V
10:37:58.958 23.1C | 2.91 V
10:38:00.162 23.1C | 2.93 V
10:38:01.391 23.1C | 2.91 V
10:38:02.644 23.1C | 2.91 V
10:38:03.835 23.1C | 2.93 V
10:38:05.060 23.1C | 2.92 V
10:38:06.297 23.1C | 2.91 V
10:38:07.517 23.1C | 2.92 V
10:38:08.736 23.1C | 2.92 V
10:38:09.961 23.1C | 2.92 V
10:38:11.186 23.1C | 2.93 V
10:38:12.412 23.1C | 2.92 V
10:38:13.642 23.1C | 2.91 V
10:38:14.862 23.1C | 2.93 V
10:38:16.087 23.1C | 2.92 V
10:38:17.312 23.1C | 2.91 V
10:38:18.538 23.1C | 2.93 V
10:38:19.762 23.1C | 2.92 V
10:38:20.987 23.1C | 2.91 V
10:38:22.214 23.1C | 2.93 V
10:38:23.437 23.1C | 2.92 V
10:38:24.662 23.1C | 2.91 V
10:38:25.888 23.1C | 2.92 V
10:38:27.116 23.1C | 2.92 V
10:38:28.337 23.1C | 2.92 V
10:38:29.563 23.1C | 2.93 V
10:38:30.788 23.1C | 2.92 V
10:38:32.013 23.1C | 2.91 V
10:38:33.239 23.1C | 2.92 V
10:38:34.485 23.1C | 2.92 V
10:38:35.703 23.2C | 2.91 V
10:38:36.913 23.1C | 2.92 V
10:38:38.140 23.1C | 2.92 V
10:38:39.363 23.1C | 2.91 V
10:38:40.587 23.1C | 2.92 V
10:38:41.812 23.2C | 2.92 V
10:38:43.051 23.1C | 2.92 V
10:38:44.263 23.1C | 2.92 V
10:38:45.490 23.2C | 2.92 V
10:38:46.722 23.1C | 2.91 V
10:38:47.941 23.1C | 2.93 V
10:38:49.164 23.1C | 2.92 V
10:38:50.389 23.1C | 2.91 V
10:38:51.614 23.1C | 2.93 V
10:38:52.841 23.1C | 2.92 V
10:38:54.064 23.1C | 2.91 V
10:38:55.291 23.1C | 2.92 V
10:38:56.515 23.1C | 2.92 V
10:38:57.739 23.1C | 2.91 V
10:38:58.978 23.1C | 2.93 V
10:39:00.196 23.2C | 2.92 V
10:39:01.414 23.1C | 2.92 V
10:39:02.653 23.1C | 2.93 V
10:39:03.864 23.2C | 2.92 V
10:39:05.089 23.2C | 2.91 V
10:39:06.323 23.2C | 2.92 V
10:39:07.544 23.2C | 2.92 V
10:39:08.767 23.1C | 2.91 V
10:39:10.044 23.2C | 2.92 V
10:39:11.217 23.1C | 2.92 V
10:39:12.441 23.2C | 2.91 V
10:39:13.669 23.2C | 2.92 V
10:39:14.902 23.2C | 2.92 V
10:39:16.117 23.1C | 2.92 V
10:39:17.341 23.1C | 2.93 V
10:39:18.573 23.2C | 2.93 V
10:39:19.791 23.2C | 2.92 V
10:39:21.017 23.2C | 2.93 V
10:39:22.241 23.2C | 2.92 V
10:39:23.474 23.2C | 2.92 V
10:39:24.691 23.2C | 2.93 V
10:39:25.957 23.2C | 2.92 V
10:39:27.153 23.2C | 2.91 V
10:39:28.370 23.2C | 2.93 V
10:39:29.593 23.1C | 2.92 V
10:39:30.817 23.2C | 2.91 V
10:39:32.043 23.1C | 2.93 V
10:39:33.268 23.1C | 2.92 V
10:39:34.492 23.2C | 2.91 V
10:39:35.724 23.2C | 2.93 V
10:39:36.942 23.2C | 2.93 V
10:39:38.169 23.2C | 2.92 V
10:39:39.393 23.2C | 2.92 V
10:39:40.622 23.2C | 2.92 V
10:39:41.861 23.2C | 2.91 V
10:39:43.067 23.2C | 2.92 V
10:39:44.292 23.2C | 2.91 V
10:39:45.517 23.2C | 2.91 V
10:39:46.745 23.2C | 2.92 V
10:39:47.968 23.2C | 2.92 V
10:39:49.193 23.2C | 2.91 V
10:39:50.419 23.2C | 2.92 V
10:39:51.644 23.2C | 2.92 V
10:39:52.881 23.2C | 2.91 V
10:39:54.095 23.2C | 2.93 V
10:39:55.319 23.2C | 2.92 V
10:39:56.559 23.2C | 2.91 V
10:39:57.768 23.2C | 2.93 V
10:39:58.996 23.1C | 2.92 V
10:40:00.217 23.2C | 2.91 V
10:40:01.443 23.2C | 2.92 V
10:40:02.672 23.2C | 2.91 V
10:40:03.894 23.2C | 2.91 V
10:40:05.119 23.2C | 2.92 V
10:40:06.344 23.2C | 2.91 V
10:40:07.570 23.2C | 2.91 V
10:40:08.799 23.2C | 2.93 V
10:40:10.028 23.2C | 2.92 V
10:40:11.247 23.2C | 2.91 V
10:40:12.470 23.1C | 2.92 V
10:40:13.713 23.1C | 2.92 V
10:40:14.919 23.2C | 2.91 V
10:40:16.153 23.2C | 2.93 V
10:40:17.369 23.2C | 2.91 V
10:40:18.595 23.2C | 2.91 V
10:40:19.819 23.2C | 2.92 V
10:40:21.044 23.2C | 2.91 V
10:40:22.271 23.2C | 2.91 V
10:40:23.496 23.2C | 2.91 V
10:40:24.723 23.2C | 2.91 V
10:40:25.947 23.2C | 2.91 V
10:40:27.171 23.2C | 2.93 V
10:40:28.396 23.2C | 2.92 V
10:40:29.621 23.2C | 2.91 V
10:40:30.846 23.2C | 2.93 V
10:40:32.072 23.2C | 2.92 V
10:40:33.296 23.2C | 2.92 V
10:40:34.522 23.2C | 2.92 V
10:40:35.782 23.2C | 2.91 V
10:40:36.971 23.2C | 2.91 V
10:40:38.197 23.2C | 2.93 V
10:40:39.421 23.1C | 2.91 V
10:40:40.647 23.2C | 2.91 V
10:40:41.875 23.2C | 2.92 V
10:40:43.097 23.2C | 2.91 V
10:40:44.327 23.2C | 2.91 V
10:40:45.547 23.2C | 2.92 V
10:40:46.772 23.2C | 2.91 V
10:40:48.005 23.2C | 2.91 V
10:40:49.229 23.2C | 2.93 V
10:40:50.447 23.2C | 2.91 V
10:40:51.674 23.2C | 2.91 V
10:40:52.897 23.2C | 2.93 V
10:40:54.123 23.2C | 2.92 V
10:40:55.347 23.2C | 2.91 V
10:40:56.576 23.2C | 2.93 V
10:40:57.797 23.2C | 2.92 V
10:40:59.023 23.2C | 2.91 V
10:41:00.247 23.2C | 2.92 V
10:41:01.479 23.2C | 2.92 V
10:41:02.697 23.2C | 2.91 V
10:41:03.923 23.1C | 2.93 V
10:41:05.151 23.2C | 2.92 V
10:41:06.375 23.2C | 2.92 V
10:41:07.598 23.2C | 2.93 V
10:41:08.836 23.2C | 2.92 V
10:41:10.048 23.2C | 2.92 V
10:41:11.273 23.2C | 2.93 V
10:41:12.502 23.1C | 2.92 V
10:41:13.723 23.2C | 2.92 V
10:41:14.949 23.2C | 2.92 V
10:41:16.173 23.1C | 2.92 V
10:41:17.403 23.1C | 2.91 V
10:41:18.641 23.2C | 2.93 V
10:41:19.848 23.2C | 2.91 V
10:41:21.092 23.2C | 2.91 V
10:41:22.312 23.1C | 2.92 V
10:41:23.543 23.2C | 2.92 V
10:41:24.762 23.2C | 2.92 V
10:41:25.974 23.1C | 2.93 V
10:41:27.202 23.2C | 2.91 V
10:41:28.431 23.2C | 2.91 V
10:41:29.650 23.1C | 2.92 V
10:41:30.875 23.2C | 2.92 V
10:41:32.099 23.2C | 2.91 V
10:41:33.324 23.1C | 2.93 V
10:41:34.551 23.2C | 2.92 V
10:41:35.789 23.1C | 2.91 V
10:41:37.002 23.2C | 2.92 V
10:41:38.246 23.1C | 2.91 V
10:41:39.455 23.1C | 2.91 V
10:41:40.676 23.2C | 2.93 V
10:41:41.912 23.1C | 2.91 V
10:41:43.126 23.1C | 2.91 V
10:41:44.351 23.1C | 2.93 V
10:41:45.583 23.2C | 2.92 V
10:41:46.800 23.1C | 2.91 V
10:41:48.026 23.2C | 2.92 V
10:41:49.252 23.2C | 2.91 V
10:41:50.487 23.2C | 2.91 V
10:41:51.701 23.2C | 2.92 V
10:41:52.930 23.1C | 2.91 V
10:41:54.152 23.2C | 2.91 V
10:41:55.381 23.1C | 2.92 V
10:41:56.608 23.1C | 2.91 V
10:41:57.828 23.2C | 2.91 V
10:41:59.057 23.2C | 2.93 V
10:42:00.276 23.2C | 2.92 V
10:42:01.506 23.2C | 2.91 V
10:42:02.728 23.2C | 2.92 V
10:42:03.952 23.2C | 2.92 V
10:42:05.178 23.2C | 2.91 V
10:42:06.402 23.2C | 2.92 V
10:42:07.627 23.2C | 2.91 V
10:42:08.853 23.2C | 2.91 V
10:42:10.078 23.2C | 2.92 V
10:42:11.313 23.2C | 2.91 V
10:42:12.528 23.2C | 2.91 V
10:42:13.754 23.1C | 2.92 V
10:42:14.980 23.2C | 2.91 V
10:42:16.205 23.2C | 2.91 V
10:42:17.431 23.2C | 2.93 V
10:42:18.653 23.2C | 2.92 V
10:42:19.891 23.2C | 2.91 V
10:42:21.106 23.2C | 2.92 V
10:42:22.348 23.1C | 2.92 V
10:42:23.600 23.1C | 2.92 V
10:42:24.784 23.1C | 2.93 V
10:42:26.003 23.2C | 2.92 V
10:42:27.230 23.2C | 2.92 V
10:42:28.459 23.2C | 2.93 V
10:42:29.691 23.2C | 2.92 V
10:42:30.904 23.2C | 2.92 V
10:42:32.143 23.2C | 2.92 V
10:42:33.353 23.2C | 2.92 V
10:42:34.582 23.2C | 2.92 V
10:42:35.805 23.2C | 2.93 V
10:42:37.030 23.2C | 2.91 V
10:42:38.255 23.2C | 2.91 V
10:42:39.480 23.2C | 2.93 V
10:42:40.706 23.2C | 2.92 V
10:42:41.932 23.1C | 2.91 V
10:42:43.154 23.2C | 2.92 V
10:42:44.401 23.2C | 2.92 V
10:42:45.603 23.2C | 2.92 V
10:42:46.828 23.2C | 2.93 V
10:42:48.056 23.2C | 2.91 V
10:42:49.280 23.2C | 2.91 V
10:42:50.506 23.2C | 2.92 V
10:42:51.745 23.1C | 2.91 V
10:42:52.956 23.2C | 2.91 V
10:42:54.181 23.1C | 2.93 V
10:42:55.409 23.2C | 2.92 V
10:42:56.632 23.1C | 2.92 V
10:42:57.858 23.1C | 2.93 V
10:42:59.080 23.2C | 2.91 V
10:43:00.319 23.2C | 2.91 V
10:43:01.594 23.1C | 2.92 V
10:43:02.767 23.2C | 2.92 V
10:43:03.993 23.2C | 2.91 V
10:43:05.205 23.2C | 2.92 V
10:43:06.447 23.2C | 2.91 V
10:43:07.661 23.2C | 2.91 V
10:43:08.884 23.1C | 2.92 V
10:43:10.107 23.1C | 2.91 V
10:43:11.332 23.2C | 2.91 V
10:43:12.562 23.2C | 2.92 V
10:43:13.793 23.2C | 2.92 V
10:43:15.007 23.2C | 2.91 V
10:43:16.234 23.1C | 2.93 V
10:43:17.457 23.2C | 2.91 V
10:43:18.695 23.2C | 2.91 V
10:43:19.907 23.2C | 2.93 V
10:43:21.133 23.2C | 2.91 V
10:43:22.357 23.1C | 2.91 V
10:43:23.587 23.2C | 2.93 V
10:43:24.807 23.1C | 2.91 V
10:43:26.053 23.2C | 2.91 V
10:43:27.277 23.2C | 2.92 V
10:43:28.486 23.1C | 2.91 V
10:43:29.710 23.2C | 2.91 V
10:43:30.933 23.1C | 2.92 V
10:43:32.161 23.2C | 2.92 V
10:43:33.384 23.2C | 2.91 V
10:43:34.612 23.1C | 2.93 V
10:43:35.836 23.2C | 2.91 V
10:43:37.065 23.1C | 2.92 V
10:43:38.309 23.2C | 2.93 V
10:43:39.511 23.2C | 2.91 V
10:43:40.733 23.2C | 2.91 V
10:43:41.957 23.2C | 2.92 V
10:43:43.183 23.2C | 2.91 V
10:43:44.412 23.2C | 2.91 V
10:43:45.639 23.2C | 2.93 V
10:43:46.860 23.2C | 2.91 V
10:43:48.085 23.1C | 2.91 V
10:43:49.311 23.1C | 2.93 V
10:43:50.535 23.1C | 2.92 V
10:43:51.773 23.2C | 2.92 V
10:43:52.993 23.1C | 2.93 V
10:43:54.225 23.1C | 2.91 V
10:43:55.438 23.2C | 2.91 V
10:43:56.659 23.2C | 2.93 V
10:43:57.885 23.2C | 2.91 V
10:43:59.112 23.2C | 2.91 V
10:44:00.335 23.1C | 2.92 V
10:44:01.562 23.2C | 2.91 V
10:44:02.786 23.2C | 2.91 V
10:44:04.011 23.1C | 2.92 V
10:44:05.240 23.1C | 2.91 V
10:44:06.480 23.2C | 2.91 V
10:44:07.691 23.1C | 2.93 V
10:44:08.912 23.1C | 2.91 V
10:44:10.162 23.2C | 2.92 V
10:44:11.369 23.2C | 2.93 V
10:44:12.588 23.2C | 2.91 V
10:44:13.828 23.2C | 2.91 V
10:44:15.037 23.1C | 2.92 V
10:44:16.261 23.2C | 2.92 V
10:44:17.486 23.2C | 2.92 V
10:44:18.711 23.1C | 2.93 V
10:44:19.982 23.1C | 2.91 V
10:44:21.165 23.1C | 2.92 V
10:44:22.397 23.1C | 2.93 V
10:44:23.614 23.1C | 2.91 V
10:44:24.838 23.2C | 2.92 V
10:44:26.062 23.1C | 2.93 V
10:44:27.286 23.1C | 2.92 V
10:44:28.536 23.1C | 2.92 V
10:44:29.738 23.2C | 2.94 V
10:44:30.962 23.1C | 2.92 V
10:44:32.187 23.1C | 2.92 V
10:44:33.411 23.2C | 2.93 V
10:44:34.639 23.2C | 2.91 V
10:44:35.862 23.2C | 2.91 V
10:44:37.095 23.1C | 2.92 V
10:44:38.328 23.1C | 2.91 V
10:44:39.539 23.1C | 2.91 V
10:44:40.774 23.1C | 2.92 V
10:44:41.992 23.2C | 2.91 V
10:44:43.222 23.2C | 2.91 V
10:44:44.453 23.2C | 2.92 V
10:44:45.682 23.2C | 2.91 V
10:44:46.890 23.2C | 2.92 V
10:44:48.115 23.2C | 2.93 V
10:44:49.338 23.1C | 2.92 V
10:44:50.563 23.2C | 2.92 V
10:44:51.788 23.2C | 2.93 V
10:44:53.014 23.2C | 2.92 V
10:44:54.250 23.2C | 2.91 V
10:44:55.463 23.2C | 2.93 V
10:44:56.689 23.2C | 2.91 V
10:44:57.919 23.2C | 2.92 V
10:44:59.152 23.2C | 2.93 V
10:45:00.365 23.2C | 2.91 V
10:45:01.603 23.1C | 2.91 V
10:45:02.815 23.1C | 2.92 V
10:45:04.039 23.1C | 2.91 V
10:45:05.265 23.2C | 2.92 V
10:45:06.493 23.2C | 2.93 V
10:45:07.713 23.2C | 2.91 V
10:45:08.939 23.1C | 2.91 V
10:45:10.178 23.2C | 2.93 V
10:45:11.391 23.2C | 2.91 V
10:45:12.615 23.2C | 2.92 V
10:45:13.840 23.2C | 2.93 V
10:45:15.069 23.2C | 2.91 V
10:45:16.298 23.2C | 2.91 V
10:45:17.534 23.2C | 2.92 V
10:45:18.741 23.2C | 2.91 V
10:45:19.966 23.1C | 2.91 V
10:45:21.191 23.1C | 2.92 V
10:45:22.416 23.2C | 2.92 V
10:45:23.641 23.1C | 2.92 V
10:45:24.868 23.2C | 2.92 V
10:45:26.099 23.2C | 2.92 V
10:45:27.316 23.2C | 2.92 V
10:45:28.541 23.1C | 2.93 V
10:45:29.765 23.2C | 2.91 V
10:45:30.992 23.1C | 2.91 V
10:45:32.221 23.1C | 2.93 V
10:45:33.463 23.2C | 2.91 V
10:45:34.666 23.2C | 2.91 V
10:45:35.894 23.2C | 2.93 V
10:45:37.117 23.2C | 2.91 V
10:45:38.342 23.2C | 2.91 V
10:45:39.570 23.1C | 2.92 V
10:45:40.796 23.1C | 2.91 V
10:45:42.017 23.1C | 2.91 V
10:45:43.243 23.1C | 2.93 V
10:45:44.468 23.1C | 2.92 V
10:45:45.692 23.1C | 2.92 V
10:45:46.917 23.1C | 2.93 V
10:45:48.153 23.2C | 2.92 V
10:45:49.367 23.1C | 2.92 V
10:45:50.596 23.2C | 2.93 V
10:45:51.844 23.1C | 2.92 V
10:45:53.043 23.1C | 2.92 V
10:45:54.268 23.1C | 2.93 V
10:45:55.493 23.2C | 2.91 V
10:45:56.718 23.1C | 2.91 V
10:45:57.945 23.2C | 2.92 V
10:45:59.168 23.2C | 2.91 V
10:46:00.392 23.1C | 2.91 V
10:46:01.618 23.1C | 2.93 V
10:46:02.843 23.2C | 2.91 V
10:46:04.084 23.2C | 2.91 V
10:46:05.310 23.2C | 2.93 V
10:46:06.521 23.2C | 2.91 V
10:46:07.743 23.2C | 2.92 V
10:46:08.968 23.2C | 2.93 V
10:46:10.195 23.2C | 2.91 V
10:46:11.420 23.1C | 2.91 V
10:46:12.644 23.1C | 2.92 V
10:46:13.870 23.2C | 2.91 V
10:46:15.095 23.2C | 2.91 V
10:46:16.322 23.2C | 2.92 V
10:46:17.546 23.2C | 2.91 V
10:46:18.771 23.2C | 2.91 V
10:46:20.009 23.2C | 2.93 V
10:46:21.219 23.2C | 2.91 V
10:46:22.444 23.1C | 2.91 V
10:46:23.680 23.1C | 2.92 V
10:46:24.900 23.1C | 2.91 V
10:46:26.120 23.2C | 2.91 V
10:46:27.348 23.2C | 2.92 V
10:46:28.570 23.1C | 2.91 V
10:46:29.796 23.2C | 2.91 V
10:46:31.021 23.1C | 2.93 V
10:46:32.246 23.2C | 2.92 V
10:46:33.472 23.1C | 2.91 V
10:46:34.696 23.1C | 2.93 V
10:46:35.920 23.2C | 2.91 V
10:46:37.147 23.2C | 2.91 V
10:46:38.374 23.1C | 2.92 V
10:46:39.600 23.2C | 2.91 V
